,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
71,POINT (16.345987015649527 48.201070040884055),,,,Grätzel,,,TopografischeObjekte,Brillantengrund,https://www.geschichtewiki.wien.gv.at/?curid=7537,Bandgasse 6,Grätzel
128,POINT (16.345714016431135 48.2005820408563),,,,Grünfläche,,2007.0,topografische_objekte,Dorothea-Neff-Park,https://www.geschichtewiki.wien.gv.at/?curid=33253,Bandgasse 5/1,Grünfläche
284,POINT (16.34123401600317 48.1961360407935),,Sakralbau,,,1892.0,,Bauwerke,"Johannes-Nepomuk-Kapelle (6, Mariahilfer Straße)",https://www.geschichtewiki.wien.gv.at/?curid=19641,Mariahilfer Straße 124,Kapelle
323,POINT (16.352570150538384 48.20476086708961),,Sakralbau,,,,1750.0,Bauwerke,"Johannes-Nepomuk-Statue (7, Ulrichsplatz)",https://www.geschichtewiki.wien.gv.at/?curid=19686,St.-Ulrichs-Platz 3(PFARRE),Sakrale_Freiplastik
474,POINT (16.348221551258803 48.199278499796634),,,,Verkehrsfläche,,1862.0,topografische_objekte,Richtergasse,https://www.geschichtewiki.wien.gv.at/?curid=26716,Richtergasse 8,Verkehrsfläche
728,POINT (16.35302526327066 48.204289915815366),Sonstiges,,,,,1713.0,organisationen,Zum St. Ulrich (Apotheke),https://www.geschichtewiki.wien.gv.at/?curid=21409,Burggasse 22,Apotheke
729,POINT (16.35432653570176 48.202555822982),Sonstiges,,,,,1783.0,organisationen,"Zum goldenen Elefanten (7, Apotheke)",https://www.geschichtewiki.wien.gv.at/?curid=12421,Siebensterngasse 20,Apotheke
734,POINT (16.3494000247669 48.20136633307758),Institution,,,,1975.0,1749.0,Organisationen,Löwinger-Bühne,https://www.geschichtewiki.wien.gv.at/?curid=20037,Neubaugasse 36/1,Theater
739,POINT (16.34704276366354 48.20284965444422),Behörde,,,,,,organisationen,Magistratsabteilung 3 - Bedienstetenschutz und berufliche Gesundheitsförderung,https://www.geschichtewiki.wien.gv.at/?curid=44676,Hermanngasse 24-26,Behörde
754,POINT (16.354299614872517 48.2055570467795),Institution,,,,,1701.0,Organisationen,Mechitaristen,https://www.geschichtewiki.wien.gv.at/?curid=28994,Mechitaristengasse 2,Institution
766,POINT (16.354198717006067 48.20595438330766),Verein,,,,,1811.0,Organisationen,Museum der Mechitaristen-Kongregation,https://www.geschichtewiki.wien.gv.at/?curid=14661,Mechitaristengasse 4,Museum
771,POINT (16.357796015446738 48.203739040605114),Institution,,,,,1962.0,organisationen,Museum moderner Kunst,https://www.geschichtewiki.wien.gv.at/?curid=14827,Museumsplatz 1(HOF E8/3),Museum
822,POINT (16.354192185866353 48.2042151845777),Anstalt,,,,2007.0,1924.0,organisationen,Pädagogische Zentralbücherei,https://www.geschichtewiki.wien.gv.at/?curid=1835,Burggasse 14-16,Anstalt
823,POINT (16.354192185866353 48.2042151845777),Institution,,,,2007.0,1923.0,organisationen,Pädagogisches Institut der Stadt Wien,https://www.geschichtewiki.wien.gv.at/?curid=1830,Burggasse 14-16,Institution
829,POINT (16.35132431376619 48.2023526522141),Institution,,,,1945.0,1938.0,organisationen,"Reichsfilmkammer, Außenstelle Wien",https://www.geschichtewiki.wien.gv.at/?curid=47059,Siebensterngasse 42-44,Institution
833,POINT (16.34535044600706 48.20026298980716),Anstalt,,,,1955.0,1945.0,Organisationen,Rot-Weiß-Rot-Sendergruppe,https://www.geschichtewiki.wien.gv.at/?curid=29245,Seidengasse 13,Anstalt
882,POINT (16.359121743337287 48.20353747424892),Institution,,,,,2001.0,Organisationen,Tanzquartier Wien,https://www.geschichtewiki.wien.gv.at/?curid=49617,Museumsplatz 1(HOF E1/5),Institution
963,POINT (16.35050506561561 48.20565632670135),Verein,,,,1932.0,1903.0,organisationen,Wiener Werkstätte,https://www.geschichtewiki.wien.gv.at/?curid=10549,Neustiftgasse 32 Obj. 3,Verein
1388,POINT (16.337908916519563 48.201372649993075),,,,Verkehrsfläche,,,topografische_objekte,Urban-Loritz-Platz,https://www.geschichtewiki.wien.gv.at/?curid=2318,Urban-Loritz-Platz WC-ANLAGE,Verkehrsfläche
1583,POINT (16.35167565901823 48.20489094091477),,,,Verkehrsfläche,,1900.0,topografische_objekte,Zeismannsbrunngasse,https://www.geschichtewiki.wien.gv.at/?curid=7496,Kirchengasse 48,Verkehrsfläche
1610,POINT (16.345017905974263 48.20222040528587),,,,Verkehrsfläche,,1750.0,topografische_objekte,Zieglergasse,https://www.geschichtewiki.wien.gv.at/?curid=7977,Zieglergasse 42,Verkehrsfläche
1631,POINT (16.354625418044538 48.205013115188514),,,,Verkehrsfläche,,1898.0,topografische_objekte,Zitterhofergasse,https://www.geschichtewiki.wien.gv.at/?curid=8312,Zitterhofergasse 8,Verkehrsfläche
